DPU Throughput
timestamp,FPS

DDR Bandwidth
timestamp,DDRC_PORT_S1_Read,DDRC_PORT_S1_Write,DDRC_PORT_S2_Read,DDRC_PORT_S2_Write,DDRC_PORT_S3_Read,DDRC_PORT_S3_Write,DDRC_PORT_S4_Read,DDRC_PORT_S4_Write,DDRC_PORT_S5_Read,DDRC_PORT_S5_Write,
413707.72,12.61,0.2,11.84,3.24,0,0,0,0,0,0,
413687.70,0.1,0.01,0.13,0.06,0,0,0,0,0,0,
413667.69,0.01,0,0.04,0.12,0,0,0,0,0,0,
413647.67,0,0,0,0,0,0,0,0,0,0,
413627.65,0.04,0.01,0.05,0.04,0,0,0,0,0,0,
413607.63,0.95,0.01,0.86,0.2,0,0,0,0,0,0,
413587.61,0.13,0.01,0.09,0.15,0,0,0,0,0,0,
413567.59,3.49,0.04,3.88,0.77,0,0,0,0,0,0,
413547.58,0.04,0,0.03,0.01,0,0,0,0,0,0,
413527.56,0.61,0.01,0.57,0.16,0,0,0,0,0,0,
413507.54,0.01,0,0,0,0,0,0,0,0,0,
413487.52,0.55,0.01,0.34,0.08,0,0,0,0,0,0,
413467.50,1.35,0.02,1.63,0.36,0,0,0,0,0,0,
413447.48,5,0.08,4.91,1.14,0,0,0,0,0,0,
413427.42,207.55,6.13,218.13,97.14,0,0,0,0,0,0,
413407.38,42.67,1.07,42.73,14.23,0,0,0,0,0,0,
413387.36,0.02,0,0.01,0.01,0,0,0,0,0,0,
413367.34,2.55,0.03,2.8,0.49,0,0,0,0,0,0,
413347.32,0.01,0,0,0,0,0,0,0,0,0,
413327.31,1.54,0.01,1.11,0.19,0,0,0,0,0,0,
413307.29,0.03,0,0,0.01,0,0,0,0,0,0,
413287.27,0.02,0,0,0.01,0,0,0,0,0,0,
413267.25,0.01,0.01,0.04,0.1,0,0,0,0,0,0,
413247.23,0.03,0,0.01,0.01,0,0,0,0,0,0,
413227.22,0.1,0,0.06,0.03,0,0,0,0,0,0,
413207.20,3.72,0.05,3.45,0.81,0,0,0,0,0,0,
413187.18,0,0,0,0,0,0,0,0,0,0,
413167.16,10.55,0.16,10.18,2.73,0,0,0,0,0,0,
413147.14,0,0,0.01,0.05,0,0,0,0,0,0,
413127.12,0,0,0,0,0,0,0,0,0,0,
413107.11,0.03,0.01,0.03,0.17,0,0,0,0,0,0,
413087.09,0,0,0,0,0,0,0,0,0,0,
413067.07,2.97,0.04,2.91,0.6,0,0,0,0,0,0,
413047.05,0.13,0.01,0.04,0.04,0,0,0,0,0,0,
413027.04,0.04,0,0,0,0,0,0,0,0,0,
413007.02,0.03,0,0.02,0.04,0,0,0,0,0,0,
412987.00,0.21,0,0.12,0.01,0,0,0,0,0,0,
412966.98,0.17,0,0.15,0.04,0,0,0,0,0,0,
412946.97,0.04,0.01,0.15,0.12,0,0,0,0,0,0,
412926.95,0.01,0,0,0.01,0,0,0,0,0,0,
412906.93,0,0,0,0,0,0,0,0,0,0,
412886.91,0.4,0.01,0.56,0.13,0,0,0,0,0,0,
412866.89,1.31,0.03,1.07,0.39,0,0,0,0,0,0,
412846.87,5.8,0.22,4.86,1.71,0,0,0,0,0,0,
412826.83,96.2,2.08,87.2,18.76,0,0,966.04,1.54,978.54,0,
412806.81,27.38,0.11,24.31,0.45,0,0,1350.44,2.15,1371.96,0,
412786.79,28.3,0.14,24.81,0.52,0,0,1353.46,2.15,1368.95,0,
412766.78,27.92,0.12,24.6,0.6,0,0,1350.61,2.15,1368.3,0,
412746.75,27.43,0.13,24.83,0.54,0,0,1343.75,2.15,1355.8,0,
412726.73,27.29,0.12,24.51,0.58,0,0,1344.87,2.15,1361.96,0,
412706.70,29.26,0.16,25.88,1.14,0,0,1341.83,2.15,1357.73,0,
412686.68,27.1,0.12,24.89,0.7,0,0,1347.73,2.15,1358.85,0,
412666.66,27.39,0.12,24.41,0.49,0,0,1341.77,2.15,1366.62,0,
412646.64,28.92,0.18,25.31,1.04,0,0,1347.18,2.15,1359.41,0,
412626.61,27.84,0.13,25.15,1.07,0,0,1346.69,2.15,1361.66,0,
412606.60,27.5,0.14,24.56,0.54,0,0,1345.28,2.15,1364.38,0,
412586.57,27.78,0.13,25.64,1.11,0,0,1345.98,2.15,1364.29,0,
412566.55,30.46,0.19,26.66,1.01,0,0,1347.77,2.15,1358.38,0,
412546.52,28.77,0.13,26.13,1.04,0,0,1356.22,2.15,1368.27,0,
412526.47,41.2,0.39,37.06,4.36,0,0,1329.68,2.15,1347.01,0,
412506.45,27.67,0.15,24.84,0.79,0,0,1352.08,2.15,1366.48,0,
412486.43,29,0.17,25.63,1.14,0,0,1345.93,2.15,1356.65,0,
412466.41,28.8,0.18,25.75,1.16,0,0,1347.28,2.15,1362.98,0,
412446.39,29.46,0.16,26.82,1.47,0,0,1350.69,2.15,1362.91,0,
412426.35,36.72,0.26,33.94,3.4,0,0,1344.87,2,1360.86,0,
412406.29,296.36,5.17,284.69,72.54,0,0,776.69,1.08,776.98,0,
412386.20,282.54,5.54,269.39,81.06,0,0,869.96,1.38,880.15,0,
412366.18,30.75,0.17,28.35,1.8,0,0,1354.63,2.15,1367.78,0,
412346.16,28.43,0.15,25.05,0.57,0,0,1353.39,2.15,1369.01,0,
412326.13,35.2,0.24,31.48,2.67,0,0,1354.02,2.15,1368.38,0,
412306.11,44.23,0.17,47.84,1.24,0,0,1354.8,2.15,1367.61,0,
412286.09,47,0.15,40.6,1.32,0,0,1352.43,2.15,1369.98,0,
412266.07,39.07,0.18,48.59,1.14,0,0,1353.68,2.15,1368.73,0,
412246.05,55.69,0.17,46.17,1.08,0,0,1357.88,2.15,1364.53,0,
412226.03,39.64,0.19,42.87,1.2,0,0,1355.25,2.15,1367.15,0,
412206.01,44.15,0.2,48.34,1.43,0,0,1352.24,2.15,1370.16,0,
412185.98,46.94,0.17,47.96,1.03,0,0,1353.63,2.15,1368.78,0,
412165.96,51.57,0.18,42.32,1.57,0,0,1355.34,2.3,1367.07,0,
412145.93,47.35,0.16,39.85,1.71,0,0,1362.18,2.15,1381.52,0,
412125.88,65.81,0.54,70.53,7.51,0,0,1338.83,2,1349.39,0,
412104.83,58.75,1.11,55.32,9.87,0,0,1083.17,1.69,1080.28,0,
412084.78,312.58,27.12,308.88,417.32,0,0,0,0,0,0,
412064.43,200.07,10.85,206.87,174.11,0,0,0,0,0,0,
412044.38,218.13,15.12,221.5,238.92,0,0,0,0,0,0,
412024.28,286.36,24.43,283.64,348.37,0,0,0,0,0,0,
412004.22,228.01,10.68,215.08,97.64,0,0,0,0,0,0,
411984.18,85.9,7.26,76.28,41.57,0,0,0,0,0,0,
411964.16,25.69,2.64,21.83,13.22,0,0,0,0,0,0,
411944.13,3.94,5.26,2.96,21.75,0,0,0,0,0,0,
411924.11,25.26,5.74,25.4,26.24,0,0,0,0,0,0,
411904.09,27.78,4.13,26.04,21.31,0,0,0,0,0,0,
411884.07,5.92,5.19,6.03,21.32,0,0,0,0,0,0,
411864.04,47.16,5.11,48.29,32.1,0,0,0,0,0,0,
411843.99,9.71,4.38,8.98,20.66,0,0,0,0,0,0,
411823.96,48.73,5.6,44.47,40.76,0,0,0,0,0,0,
411803.87,259.82,24.39,255.97,383.21,0,0,0,0,0,0,
411783.83,99.4,10.9,94.21,134.38,0,0,0,0,0,0,
411763.76,77.86,10.88,71.3,113.49,0,0,0,0,0,0,
411743.73,42.61,4.06,41.54,30.53,0,0,0,0,0,0,
411723.71,17.43,5.59,15.9,25.08,0,0,0,0,0,0,
411703.69,51.12,5.25,51.51,34.89,0,0,0,0,0,0,
411683.66,25.1,6.45,22.3,38.52,0,0,0,0,0,0,
411663.64,10.53,5.46,10.76,25.03,0,0,0,0,0,0,
411643.62,51.26,4.72,45.88,23.02,0,0,0,0,0,0,
411623.60,20.85,5.41,21.58,26.15,0,0,0,0,0,0,
411603.57,22.89,3.86,21.56,20.53,0,0,0,0,0,0,
411583.55,39.09,1.46,39.69,12.23,0,0,0,0,0,0,
411563.53,0,0,0.02,0.02,0,0,0,0,0,0,
411543.51,0.03,0,0.01,0.01,0,0,0,0,0,0,
411523.49,18.15,0,14.76,0.02,0,0,0,0,0,0,
411503.48,0.12,0,0.06,0.06,0,0,0,0,0,0,
411483.46,3.38,0,9.97,0.05,0,0,0,0,0,0,
411463.44,13.19,0,6.68,0.05,0,0,0,0,0,0,
411443.42,0.8,0.01,0.61,0.17,0,0,0,0,0,0,
411423.40,9.87,0.01,23.95,0.29,0,0,0,0,0,0,
411403.38,2.24,0.03,1.47,0.31,0,0,0,0,0,0,
411383.33,60.06,1.62,60.88,23.73,0,0,0,0,0,0,
411363.27,227.62,6.48,235.55,94.88,0,0,0,0,0,0,
411343.26,1.66,0,0.04,0.02,0,0,0,0,0,0,
411323.24,0,0,0,0.01,0,0,0,0,0,0,
411303.22,16.49,0,16.38,0,0,0,0,0,0,0,
411283.20,0.06,0,0.08,0.04,0,0,0,0,0,0,
411263.19,0.01,0,0,0.01,0,0,0,0,0,0,
411243.17,16.48,0,16.38,0,0,0,0,0,0,0,
411223.15,0.02,0,0,0.01,0,0,0,0,0,0,
411203.14,9.87,0,3.28,0.01,0,0,0,0,0,0,
411183.12,8.29,0,11.48,0.07,0,0,0,0,0,0,
411163.10,0.06,0,0,0.01,0,0,0,0,0,0,
411143.09,0.03,0,0.01,0.01,0,0,0,0,0,0,
411123.07,5.81,0.07,4.84,0.79,0,0,0,0,0,0,
411103.05,0,0,0.01,0.01,0,0,0,0,0,0,
411083.03,0.79,0.01,0.52,0.1,0,0,0,0,0,0,
411063.01,0,0,0,0.01,0,0,0,0,0,0,
411042.99,3.29,0,3.28,0.01,0,0,0,0,0,0,
411022.97,0.03,0,0.03,0.01,0,0,0,0,0,0,
411002.96,0.02,0,0.01,0.01,0,0,0,0,0,0,
410982.94,0.01,0,0.01,0.02,0,0,0,0,0,0,
410962.92,0.01,0,0.05,0.06,0,0,0,0,0,0,
410942.91,1.66,0,4.93,0.01,0,0,0,0,0,0,
410922.89,0.79,0.02,0.6,0.2,0,0,0,0,0,0,
410902.87,0.03,0,0,0,0,0,0,0,0,0,
410882.85,0.26,0.01,0.14,0.03,0,0,0,0,0,0,
410862.84,0.01,0,0.03,0.08,0,0,0,0,0,0,
410842.82,3.41,0,3.33,0.03,0,0,0,0,0,0,
410822.79,6.69,0.09,5.47,1.06,0,0,0,0,0,0,
410802.78,0.36,0,0.58,0.09,0,0,0,0,0,0,
410782.76,0.01,0,0,0.01,0,0,0,0,0,0,
410762.74,0.27,0.01,0.28,0.09,0,0,0,0,0,0,
410742.72,1.66,0,4.92,0.01,0,0,0,0,0,0,
410722.70,0.45,0.01,0.37,0.13,0,0,0,0,0,0,
410702.69,0,0,0.01,0.03,0,0,0,0,0,0,
410682.67,0.03,0,0.03,0.05,0,0,0,0,0,0,
410662.65,3.38,0.01,3.33,0.1,0,0,0,0,0,0,
410642.63,8.01,0.09,7.56,1.32,0,0,0,0,0,0,
410622.61,0,0,0,0.03,0,0,0,0,0,0,
410602.60,0.08,0,0.16,0.1,0,0,0,0,0,0,
410582.58,1.98,0.02,2.37,0.39,0,0,0,0,0,0,
410562.54,5.5,0,2.09,0.04,0,0,0,0,0,0,
410542.53,0.03,0,0.01,0.02,0,0,0,0,0,0,
410522.51,0,0,0.01,0,0,0,0,0,0,0,
410502.49,0.01,0,0.03,0.03,0,0,0,0,0,0,
410482.47,0,0,0,0,0,0,0,0,0,0,
410462.45,4.99,0,1.65,0.01,0,0,0,0,0,0,
410442.44,0.03,0,0.01,0.03,0,0,0,0,0,0,
