DPU Throughput
timestamp,FPS

DDR Bandwidth
timestamp,DDRC_PORT_S1_Read,DDRC_PORT_S1_Write,DDRC_PORT_S2_Read,DDRC_PORT_S2_Write,DDRC_PORT_S3_Read,DDRC_PORT_S3_Write,DDRC_PORT_S4_Read,DDRC_PORT_S4_Write,DDRC_PORT_S5_Read,DDRC_PORT_S5_Write,
418786.29,12.98,0.24,11.97,3.6,0,0,0,0,0,0,
418766.27,3.12,0.06,3.28,0.78,0,0,0,0,0,0,
418746.25,0,0,0.01,0.02,0,0,0,0,0,0,
418726.24,0.11,0,0.05,0.04,0,0,0,0,0,0,
418706.22,0,0,0,0.01,0,0,0,0,0,0,
418686.20,0.14,0.01,0.32,0.13,0,0,0,0,0,0,
418666.18,0.08,0,0.02,0.01,0,0,0,0,0,0,
418646.17,0.13,0,0.17,0.07,0,0,0,0,0,0,
418626.15,0.38,0,0.44,0.11,0,0,0,0,0,0,
418606.13,0.27,0.01,0.32,0.17,0,0,0,0,0,0,
418586.10,12.75,0.19,12.49,3.1,0,0,0,0,0,0,
418566.07,26.15,0.67,29.99,12.27,0,0,0,0,0,0,
418546.00,224.79,6.41,226.33,100.9,0,0,0,0,0,0,
418525.98,0.1,0,0.02,0.04,0,0,0,0,0,0,
418505.97,0,0,0,0,0,0,0,0,0,0,
418485.95,0.17,0.01,0.34,0.12,0,0,0,0,0,0,
418465.93,0.24,0,0.44,0.13,0,0,0,0,0,0,
418445.91,0.54,0.01,0.47,0.09,0,0,0,0,0,0,
418425.89,1.73,0.02,1.2,0.24,0,0,0,0,0,0,
418405.87,0.24,0.01,0.27,0.16,0,0,0,0,0,0,
418385.84,80.13,2.26,74.98,23.24,0,0,14.69,3.23,16.22,2.42,
418365.82,97.87,2.87,92.97,45.36,0,0,325.28,70.96,354.85,53.22,
418345.80,95.51,2.93,90.86,46.53,0,0,321.08,70.96,349.13,53.22,
418325.78,98.13,2.27,92.12,35.88,0,0,321.78,70.96,348.62,53.22,
418305.76,95.69,2.34,90.23,37.22,0,0,320.51,70.96,347.74,53.22,
418285.75,96.08,2.51,90.34,39.54,0,0,324.16,67.74,352.34,50.8,
418265.73,94.09,2.55,88.2,39.61,0,0,325.52,70.96,354.61,53.22,
418245.71,95.56,2.69,90.58,43.15,0,0,325.19,70.96,354.94,53.22,
418225.69,95.08,2.71,89.77,43.48,0,0,319.63,70.96,347.1,53.22,
418205.67,96.12,2.81,90.47,44.68,0,0,316.74,70.96,345.85,53.22,
418185.65,95.73,2.45,90.91,40.43,0,0,324.39,69.35,352.95,52.42,
418165.63,95.28,2.25,90.68,39.11,0,0,325.57,67.74,354.56,50.8,
418145.61,94.96,2.38,89.93,41.16,0,0,325.3,70.96,354.83,53.22,
418125.59,95.94,2.55,91.67,43.1,0,0,325.57,70.96,354.56,53.22,
418105.57,96.32,2.64,91.59,43.42,0,0,325.85,70.96,354.28,53.22,
418085.55,98.52,2.95,93.42,48.48,0,0,323.59,70.96,352.78,53.22,
418065.53,96.64,3.05,91.19,49.93,0,0,320.46,70.96,348.77,53.22,
418045.51,95.9,3.27,91.68,52.81,0,0,319.27,70.96,349.17,53.22,
418025.49,95.84,3.39,90.86,53.18,0,0,321.18,69.35,349.75,52.42,
418005.47,93.25,3.46,88.84,54.23,0,0,324.68,67.74,355.46,50.8,
417985.45,96.65,3.58,91.37,56.25,0,0,324.75,70.96,355.39,53.22,
417965.43,96.19,3.76,91.79,61.09,0,0,322.22,70.96,349.94,53.22,
417945.41,98.41,3.98,93.65,64.61,0,0,318.23,70.96,345.94,53.22,
417925.37,141.53,4.62,138.5,71.35,0,0,276.66,58.06,299.54,43.55,
417905.33,140.35,8.61,141.85,134.83,0,0,0,0,0,0,
417885.29,135.1,7.61,134.21,65.43,0,0,0,0,0,0,
417865.24,153.55,4.49,141.63,37.77,0,0,0,0,0,0,
417845.19,133.88,6.41,135.81,100.68,0,0,0,0,0,0,
417825.10,136.43,5.07,140.86,82.62,0,0,0,0,0,0,
417805.06,128.21,2.89,123.84,45.69,0,0,0,0,0,0,
417785.03,237.69,6.85,240.91,112.14,0,0,0,0,0,0,
417764.96,138.29,7.45,138.13,117.64,0,0,0,0,0,0,
417744.91,124.43,4.92,128.1,78.71,0,0,0,0,0,0,
417724.85,109.61,0.74,112.55,17.09,0,0,0,0,0,0,
417704.82,73.1,0.41,71.52,8.7,0,0,0,0,0,0,
417684.79,59.94,0.31,60.52,6.84,0,0,0,0,0,0,
417664.74,60.46,0.41,60.67,6.61,0,0,0,0,0,0,
417644.70,61,0.65,64.15,11.41,0,0,0,0,0,0,
417624.61,71.94,0.81,70.46,13.71,0,0,0,0,0,0,
417604.56,77.15,0.57,78.96,9.57,0,0,0,0,0,0,
417584.50,53.15,0.52,57.36,9.08,0,0,0,0,0,0,
417564.45,75.42,1.57,74.49,24.8,0,0,0,0,0,0,
417544.37,157.39,2.13,164.58,44.95,0,0,0,0,0,0,
417524.30,333.23,6.64,326.33,105.95,0,0,0,0,0,0,
417504.27,64.86,0.62,68.56,11.37,0,0,0,0,0,0,
417484.24,30.54,0.24,31.58,3.83,0,0,0,0,0,0,
417464.21,21.65,0.19,21.79,2.98,0,0,0,0,0,0,
417444.17,55.44,0.72,58.96,11.55,0,0,0,0,0,0,
417424.12,73.75,0.91,73.67,17.06,0,0,0,0,0,0,
417404.07,43.68,0.4,45.77,6.37,0,0,0,0,0,0,
417384.03,57.81,0.86,54.88,12.08,0,0,0,0,0,0,
417363.97,78.4,3.19,82.68,52.63,0,0,0,0,0,0,
417343.88,112.66,3.96,123.26,68.7,0,0,0,0,0,0,
417323.81,79.28,1.98,81.43,32.84,0,0,0,0,0,0,
417303.78,93.5,2.88,98.09,46.22,0,0,0,0,0,0,
417283.70,82.18,2.42,85.18,38.12,0,0,0,0,0,0,
417263.65,176.92,8.25,175.39,130.25,0,0,0,0,0,0,
417243.58,124.83,3,129.31,49.83,0,0,0,0,0,0,
417223.51,138.3,2.58,157.8,48.03,0,0,0,0,0,0,
417203.43,248.7,3.91,257.24,63.83,0,0,0,0,0,0,
417183.35,144.1,4.56,136.83,69.61,0,0,0,0,0,0,
417163.29,87.16,2.12,82.64,32.55,0,0,0,0,0,0,
417143.21,114.21,2.81,109.67,45.17,0,0,0,0,0,0,
417123.14,117.04,3.55,113.02,56.61,0,0,0,0,0,0,
417103.08,83.69,2.19,79.13,35.05,0,0,0,0,0,0,
417083.03,85.46,2.26,84.33,37.19,0,0,0,0,0,0,
417063.00,17.93,0.65,16.26,10.62,0,0,0,0,0,0,
417042.94,110.09,3.97,113.23,64.2,0,0,0,0,0,0,
417022.89,67.13,1.51,75.49,25.56,0,0,0,0,0,0,
417002.84,116.56,3.27,109.33,50.37,0,0,0,0,0,0,
416982.80,62.6,1.97,59.15,30.68,0,0,0,0,0,0,
416962.74,103.14,3.31,96.39,49.54,0,0,0,0,0,0,
416942.69,74.72,2.61,73.54,39.72,0,0,0,0,0,0,
416922.62,136.23,4.71,133.53,74.43,0,0,0,0,0,0,
416902.59,53.29,1.47,50.92,22.36,0,0,0,0,0,0,
416882.52,162.57,2.73,156.6,41.08,0,0,0,0,0,0,
416862.48,111.24,3.34,102.48,50.27,0,0,0,0,0,0,
416842.44,51.91,1.34,52.1,22.38,0,0,0,0,0,0,
416822.41,12.93,0.45,10.83,5.89,0,0,0,0,0,0,
416802.37,90.14,3.88,91.82,63.17,0,0,0,0,0,0,
416782.30,124.93,3.65,121.92,59.38,0,0,0,0,0,0,
416762.24,60.28,1.67,59.3,29.46,0,0,0,0,0,0,
416742.18,121.91,3.66,118.96,56.83,0,0,0,0,0,0,
416722.13,121.72,7.89,126.48,129.83,0,0,0,0,0,0,
416702.07,96.13,2.52,96.83,42.22,0,0,0,0,0,0,
416682.01,119.99,2.97,115.41,44.37,0,0,0,0,0,0,
416661.94,85.58,4.22,82.69,60.61,0,0,0,0,0,0,

