DPU Throughput
timestamp,FPS

DDR Bandwidth
timestamp,DDRC_PORT_S1_Read,DDRC_PORT_S1_Write,DDRC_PORT_S2_Read,DDRC_PORT_S2_Write,DDRC_PORT_S3_Read,DDRC_PORT_S3_Write,DDRC_PORT_S4_Read,DDRC_PORT_S4_Write,DDRC_PORT_S5_Read,DDRC_PORT_S5_Write,
423351.73,11.55,0.14,12.36,2.39,0,0,0,0,0,0,
423331.71,0,0,0,0,0,0,0,0,0,0,
423311.70,0,0,0.01,0.03,0,0,0,0,0,0,
423291.68,0.06,0,0.02,0,0,0,0,0,0,0,
423271.66,0.28,0.01,0.25,0.12,0,0,0,0,0,0,
423251.64,0.13,0,0.22,0.04,0,0,0,0,0,0,
423231.62,0,0,0,0,0,0,0,0,0,0,
423211.61,0.36,0.01,0.35,0.08,0,0,0,0,0,0,
423191.59,0.57,0.01,0.59,0.17,0,0,0,0,0,0,
423171.57,4.76,0.07,4.37,1.05,0,0,0,0,0,0,
423151.52,256.7,15.24,230.49,218.72,0,0,73.1,120.42,70.62,120.42,
423131.48,357.01,26.54,314.19,367.21,0,0,135.3,225.79,134.17,225.79,
423111.44,352.17,26.25,314.88,368.55,0,0,135.35,225.79,134.12,225.79,
423091.38,351.11,26.06,311.03,362.08,0,0,139.13,232.86,138.68,232.86,
423071.30,349.54,25.93,309.25,360.96,0,0,136.48,227.78,137.56,227.76,
423051.26,351.9,26.86,309.32,376.46,0,0,136.01,225.79,133.46,225.79,
423031.22,343.99,26.51,306.07,370.45,0,0,134.75,225.79,134.73,225.79,
423011.18,352.12,27.14,314.5,383.73,0,0,135.05,225.79,134.42,225.79,
422991.14,335.73,26.01,315.64,374.65,0,0,125.38,210.74,126.13,210.74,
422971.10,341.27,26.1,330.01,368.83,0,0,136.47,225.79,133,225.79,
422951.05,335.57,25.57,323.63,363.4,0,0,142.73,239.12,140.42,239.1,
422930.99,338.41,26.09,323.92,369.47,0,0,136.55,225.79,132.92,225.79,
422910.95,337.93,25.55,322.32,364.52,0,0,136.15,225.79,133.32,225.79,
422890.91,337.99,26.06,324.82,366.54,0,0,142.3,237.62,139.18,237.62,
422870.82,338.56,26.2,326.19,371.86,0,0,135.79,225.79,133.68,225.79,
422850.78,335.26,25.48,324.49,363.25,0,0,136.46,225.79,133.02,225.79,
422830.73,342.87,25.64,328.03,362.08,0,0,135.28,225.79,134.2,225.79,
422810.69,343.71,25.98,331.97,370.56,0,0,136.95,225.79,132.52,225.79,
422790.65,332.7,25.71,324.75,366.94,0,0,142.47,239.77,141.7,239.77,
422770.59,337.49,26.35,325.43,373.32,0,0,136.12,225.79,133.36,225.79,
