DPU Throughput
timestamp,FPS

DDR Bandwidth
timestamp,DDRC_PORT_S1_Read,DDRC_PORT_S1_Write,DDRC_PORT_S2_Read,DDRC_PORT_S2_Write,DDRC_PORT_S3_Read,DDRC_PORT_S3_Write,DDRC_PORT_S4_Read,DDRC_PORT_S4_Write,DDRC_PORT_S5_Read,DDRC_PORT_S5_Write,
427946.06,14.43,0.21,13.34,3.73,0,0,0,0,0,0,
427926.04,0.15,0,0.06,0.03,0,0,0,0,0,0,
427906.02,0.01,0,0.06,0.04,0,0,0,0,0,0,
427886.00,0.06,0,0.01,0.04,0,0,0,0,0,0,
427865.98,1.17,0.02,1.21,0.3,0,0,0,0,0,0,
427845.97,0.28,0.01,0.36,0.19,0,0,0,0,0,0,
427825.95,5.91,0.08,5.86,1.56,0,0,0,0,0,0,
427805.89,108.04,2.67,118.34,50.15,0,0,0,0,0,0,
427785.83,159.22,4.52,151.14,71.34,0,0,0,0,0,0,
427765.81,0.03,0,0.17,0.06,0,0,0,0,0,0,
427745.79,0.7,0.01,0.54,0.08,0,0,0,0,0,0,
427725.77,0.4,0.01,1.04,0.26,0,0,0,0,0,0,
427705.75,0.86,0.01,1.17,0.27,0,0,0,0,0,0,
427685.73,1.01,0.02,0.83,0.42,0,0,0,0,0,0,
427665.68,83.19,1.98,77.98,20.77,0,0,455.98,0.58,438.15,0,
427645.66,23.18,0.04,23.15,3.89,0,0,1388.66,1.77,1332.3,0,
427625.64,22.89,0.04,22.56,3.8,0,0,1379.56,1.77,1330.97,0,
427605.61,26.66,0.09,25.84,4.32,0,0,1411.87,1.78,1356.73,0,
427585.59,22.37,0.02,23,3.69,0,0,1399.78,1.78,1346.48,0,
427565.57,27.89,0.14,28.05,4.71,0,0,1346.86,1.72,1302.11,0,
427545.55,33.04,0.17,32.67,5.93,0,0,1354.43,1.73,1297.6,0,
427525.53,24.32,0.05,23.62,4.08,0,0,1398.91,1.77,1347.48,0,
427505.50,23.38,0.04,23.53,3.67,0,0,1405.57,1.8,1351.43,0,
427485.48,23.48,0.05,23.02,3.82,0,0,1399.6,1.77,1341.86,0,
427465.44,36.08,0.18,35.06,6.32,0,0,1367.72,1.73,1323.72,0,
427445.42,24.4,0.05,25.3,4.32,0,0,1399.76,1.77,1353.59,0,
427425.40,23.99,0.02,24.45,3.51,0,0,1415.96,1.8,1362.49,0,
427405.37,69.87,0.69,66.77,13.74,0,0,1272.71,1.63,1228.37,0,
427385.35,22.95,0.02,23.48,3.58,0,0,1397.72,1.78,1346.28,0,
427365.32,25.57,0.04,25.92,4.12,0,0,1416.03,1.78,1357.58,0,
427345.30,23.76,0.02,23.74,3.41,0,0,1419.64,1.8,1358.81,0,
427325.28,25.45,0.04,24.95,3.5,0,0,1413.27,1.8,1355.25,0,
427305.26,22.55,0.01,23,3.45,0,0,1403.93,1.78,1348.31,0,
427285.24,22.86,0.01,22.76,3.44,0,0,1408.81,1.8,1353.75,0,
427265.22,23.18,0.01,22.92,3.37,0,0,1404.12,1.78,1352.84,0,
427245.20,23.36,0.02,23.79,3.66,0,0,1409.22,1.8,1348.66,0,
427225.18,23.54,0.03,23.4,3.54,0,0,1413.01,1.78,1353.66,0,
427205.16,22.85,0.01,22.84,3.64,0,0,1411.91,1.8,1354.6,0,
427185.14,25.33,0.04,24.26,3.85,0,0,1407.41,1.78,1352.89,0,
427165.12,23.28,0.01,22.52,3.48,0,0,1412.73,1.78,1362.42,0,
427145.09,23.8,0.02,24.26,3.74,0,0,1414.97,1.8,1361.85,0,
427125.07,24.54,0.02,24.4,3.83,0,0,1415.88,1.8,1360.26,0,
427104.98,109.91,2.17,108.72,37.15,0,0,1147.34,1.45,1098.56,0,
427084.91,376.85,29.28,375.3,469.11,0,0,0,0,0,0,
427064.87,257.89,18.72,251.78,308.04,0,0,0,0,0,0,
427044.77,246.27,14.73,246.75,247.84,0,0,0,0,0,0,
427024.73,131.37,2.9,129.32,36.36,0,0,0,0,0,0,
427004.68,273.74,22.43,274.34,358.61,0,0,0,0,0,0,
426984.59,171.88,12.34,179.6,196.67,0,0,0,0,0,0,
