DPU Throughput
timestamp,FPS

DDR Bandwidth
timestamp,DDRC_PORT_S1_Read,DDRC_PORT_S1_Write,DDRC_PORT_S2_Read,DDRC_PORT_S2_Write,DDRC_PORT_S3_Read,DDRC_PORT_S3_Write,DDRC_PORT_S4_Read,DDRC_PORT_S4_Write,DDRC_PORT_S5_Read,DDRC_PORT_S5_Write,
574738.26,14.52,0.25,10.42,2.74,0,0,0,0,0,0,
574718.25,0,0,0,0,0,0,0,0,0,0,
574698.23,0,0,0.01,0.01,0,0,0,0,0,0,
574678.21,0.02,0,0,0.01,0,0,0,0,0,0,
574658.19,0.02,0,0.01,0.01,0,0,0,0,0,0,
574638.17,0.06,0.01,0.03,0.06,0,0,0,0,0,0,
574618.15,0.08,0,0.09,0.04,0,0,0,0,0,0,
574598.13,0.37,0.01,0.54,0.24,0,0,0,0,0,0,
574578.12,0.13,0,0.19,0.07,0,0,0,0,0,0,
574558.10,0.01,0,0.01,0.03,0,0,0,0,0,0,
574538.08,0.45,0,0.81,0.15,0,0,0,0,0,0,
574518.06,0,0,0,0,0,0,0,0,0,0,
574498.05,0.02,0,0.03,0.02,0,0,0,0,0,0,
574478.03,0,0,0.01,0.03,0,0,0,0,0,0,
574458.01,0.03,0,0.04,0.01,0,0,0,0,0,0,
574437.99,0.16,0.01,0.12,0.14,0,0,0,0,0,0,
574417.98,1.86,0.03,2.05,0.66,0,0,0,0,0,0,
574397.96,0,0,0.01,0.01,0,0,0,0,0,0,
574377.94,0.01,0,0.05,0.05,0,0,0,0,0,0,
574357.92,0,0,0,0,0,0,0,0,0,0,
574337.90,3.13,0.04,1.93,0.47,0,0,0,0,0,0,
574317.89,0.02,0,0.03,0.01,0,0,0,0,0,0,
574297.87,0.08,0,0.01,0.01,0,0,0,0,0,0,
574277.85,0.04,0,0.14,0.03,0,0,0,0,0,0,
574257.83,0,0,0,0,0,0,0,0,0,0,
574237.81,0.03,0,0.04,0.03,0,0,0,0,0,0,
574217.80,0.17,0.01,0.01,0.07,0,0,0,0,0,0,
574197.78,0,0,0,0,0,0,0,0,0,0,
574177.76,0.12,0.01,0.11,0.12,0,0,0,0,0,0,
574157.74,0,0,0.05,0.04,0,0,0,0,0,0,
574137.73,0.15,0.01,0.22,0.17,0,0,0,0,0,0,
574117.71,3.01,0.05,3.18,0.79,0,0,0,0,0,0,
574097.68,3.65,0.04,4.28,0.88,0,0,0,0,0,0,
574077.66,1.18,0.02,0.96,0.27,0,0,0,0,0,0,
574057.64,2.18,0.03,2,0.61,0,0,0,0,0,0,
574037.58,78.44,2.25,87.3,39.11,0,0,0,0,0,0,
574017.52,182.32,4.98,186.19,86.17,0,0,0,0,0,0,
573997.49,91.26,1.77,82.91,32.01,0,0,84.2,1.19,85.87,0.81,
573977.46,49.53,0.45,42.32,6.07,0,0,888.33,7.3,912.24,4.44,
573957.42,77.83,0.96,64.23,13.85,0,0,843.76,7.18,856.51,4.44,
573937.40,45.53,0.43,39.17,5.39,0,0,875.25,7.83,889.34,4.84,
573917.39,45.69,0.45,39.45,5.66,0,0,879.65,7.18,899.24,4.44,
573897.37,45.4,0.42,39.47,5,0,0,883.8,7.83,908.83,4.84,
573877.34,45.93,0.48,39.32,5.7,0,0,856.8,7.18,880.35,4.44,
573857.32,44.93,0.39,39.44,5.06,0,0,900.96,7.3,917.78,4.44,
573837.30,45.9,0.45,39.19,5.56,0,0,868.92,7.83,889.4,4.84,
573817.28,51.74,0.53,42.69,6.6,0,0,880.55,7.18,901.22,4.44,
573797.26,46.27,0.44,39.33,5.79,0,0,876.26,7.83,888.97,4.84,
573777.24,50.22,0.5,42.8,6.35,0,0,872.62,7.18,893.06,4.44,
573757.23,45.5,0.45,39.16,5.31,0,0,870.4,7.83,893.73,4.84,
573737.21,47.94,0.49,40.4,5.22,0,0,882.76,7.18,904.16,4.44,
573717.19,45.52,0.44,39.29,5.42,0,0,881.68,7.83,896.77,4.84,
573697.17,45.16,0.44,39.33,5.36,0,0,868.12,7.18,885.29,4.44,
573677.15,45.07,0.4,39.04,4.97,0,0,900,7.83,914.04,4.84,
573657.13,46.08,0.45,39.88,5.58,0,0,867.52,7.83,887.92,4.84,
573637.12,45.53,0.38,39.75,4.97,0,0,886.14,7.18,912.94,4.44,
573617.10,45.63,0.42,39.33,5.54,0,0,880.66,7.83,890.47,4.84,
573597.07,47.17,0.46,41.49,5.99,0,0,874,7.18,894.82,4.44,
573577.06,45.62,0.4,39.66,4.97,0,0,896.08,7.83,915.65,4.84,
573557.04,46.64,0.5,40.58,5.81,0,0,856.36,7.72,869.16,4.84,
573537.02,45.21,0.43,39.67,5.22,0,0,898.02,7.3,915.75,4.44,
573517.00,45.64,0.45,39.07,5.29,0,0,871.61,7.83,886.97,4.84,
573496.98,46.04,0.41,39.94,4.92,0,0,886.99,7.18,907.95,4.44,
573476.97,45.92,0.46,39.48,5.48,0,0,877.15,7.83,895.08,4.84,
573456.95,45.72,0.45,39.6,5.44,0,0,873.36,7.18,890.81,4.44,
573436.93,47.18,0.44,40.55,5.44,0,0,893.94,7.83,917.79,4.84,
573416.91,59,0.59,51.17,6.94,0,0,855.18,7.72,877.23,4.84,
573396.89,45.91,0.41,39.86,4.94,0,0,895.41,7.3,914.76,4.44,
573376.87,46.08,0.45,39.68,5.45,0,0,871.99,7.83,892.32,4.84,
573356.85,46.04,0.39,39.72,5.14,0,0,885.08,7.18,905.16,4.44,
573336.83,49.48,0.49,41.39,6.08,0,0,878.91,7.83,899.05,4.84,
573316.81,45.33,0.42,39.01,5.55,0,0,869.46,7.18,884.71,4.44,
573296.80,46.59,0.4,39.84,5.87,0,0,900.11,7.83,913.78,4.84,
573276.78,46.59,0.5,39.99,5.65,0,0,866.73,7.83,889.4,4.84,
573256.76,46.41,0.44,40.17,5.25,0,0,890.4,7.18,905.83,4.44,
573236.74,46.94,0.44,40.91,5.8,0,0,875.29,7.83,896.68,4.84,
573216.72,45.46,0.44,40.01,5.99,0,0,876.18,7.18,894.31,4.44,
573196.70,46.4,0.42,40.76,5.28,0,0,894.37,7.83,917.36,4.84,
573176.68,48.23,0.47,41.45,5.91,0,0,853.04,7.72,874.55,4.84,
573156.66,45.82,0.4,40.86,5.47,0,0,896.99,7.3,917.1,4.44,
573136.64,56.69,0.59,47.51,7.77,0,0,861.04,7.83,880.13,4.84,
573116.59,379.79,24.52,365.07,387.86,0,0,134.33,0.65,139.21,0.4,
573096.45,181.72,9.74,174.55,149.93,0,0,0,0,0,0,
573076.43,5.29,0.23,4.19,3.42,0,0,0,0,0,0,
573056.38,147.94,8.8,142.82,138.29,0,0,0,0,0,0,
573036.29,277.5,17.37,263.94,296.72,0,0,0,0,0,0,
573016.23,136.67,3.62,133.14,68.4,0,0,0,0,0,0,
572996.11,198.3,5.42,207.56,95.24,0,0,0,0,0,0,
572976.09,0.26,0,0.12,0.04,0,0,0,0,0,0,
572956.07,0.09,0,0.1,0,0,0,0,0,0,0,
572936.05,0.13,0,0.07,0.03,0,0,0,0,0,0,
