DPU Throughput
timestamp,FPS

DDR Bandwidth
timestamp,DDRC_PORT_S1_Read,DDRC_PORT_S1_Write,DDRC_PORT_S2_Read,DDRC_PORT_S2_Write,DDRC_PORT_S3_Read,DDRC_PORT_S3_Write,DDRC_PORT_S4_Read,DDRC_PORT_S4_Write,DDRC_PORT_S5_Read,DDRC_PORT_S5_Write,
672827.64,13.82,0.21,12.6,3.28,0,0,0,0,0,0,
672807.62,0.01,0,0.03,0.05,0,0,0,0,0,0,
672787.60,0.71,0.01,0.34,0.1,0,0,0,0,0,0,
672767.58,0.15,0,0.05,0.12,0,0,0,0,0,0,
672747.56,3.17,0.04,4.03,0.98,0,0,0,0,0,0,
672727.55,0.06,0,0.06,0.08,0,0,0,0,0,0,
672707.53,0.01,0,0.03,0.03,0,0,0,0,0,0,
672687.51,0,0,0,0,0,0,0,0,0,0,
672667.49,0.1,0,0.02,0.01,0,0,0,0,0,0,
672647.47,0.68,0.01,1.14,0.28,0,0,0,0,0,0,
672627.46,0.2,0,0.04,0.06,0,0,0,0,0,0,
672607.44,0.19,0,0.15,0.08,0,0,0,0,0,0,
672587.42,0.01,0,0.13,0.07,0,0,0,0,0,0,
672567.40,0.4,0,0.61,0.12,0,0,0,0,0,0,
672547.38,0.99,0.01,1.41,0.4,0,0,0,0,0,0,
672527.36,4.05,0.06,2.82,1.16,0,0,0,0,0,0,
672507.30,179.8,5.31,193.02,87.82,0,0,0,0,0,0,
672487.24,77.46,2.09,82.45,30.89,0,0,0,0,0,0,
672467.23,0,0,0,0,0,0,0,0,0,0,
672447.21,0.03,0,0.04,0.05,0,0,0,0,0,0,
672427.19,0.2,0,0.06,0.02,0,0,0,0,0,0,
672407.17,0.47,0,0.26,0.08,0,0,0,0,0,0,
672387.15,0.01,0,0,0.05,0,0,0,0,0,0,
672367.14,8.65,0.12,7.53,1.82,0,0,0,0,0,0,
672347.12,0.07,0,0.01,0.04,0,0,0,0,0,0,
672327.10,0.88,0.02,0.54,0.14,0,0,0,0,0,0,
672307.08,0.01,0.01,0.02,0.04,0,0,0,0,0,0,
672287.06,0,0,0.03,0.03,0,0,0,0,0,0,
672267.05,0,0,0,0,0,0,0,0,0,0,
672247.03,2.78,0.03,3.5,0.77,0,0,0,0,0,0,
672227.01,0,0,0,0,0,0,0,0,0,0,
672206.99,0.03,0,0.03,0.1,0,0,0,0,0,0,
672186.97,0,0,0,0.01,0,0,0,0,0,0,
672166.96,0,0,0,0.01,0,0,0,0,0,0,
672146.94,0.01,0,0.01,0.03,0,0,0,0,0,0,
672126.92,0.07,0,0.03,0.04,0,0,0,0,0,0,
672106.90,2.36,0.03,3.07,0.52,0,0,0,0,0,0,
672086.89,0,0,0.01,0.01,0,0,0,0,0,0,
