DPU Throughput
timestamp,FPS

DDR Bandwidth
timestamp,DDRC_PORT_S1_Read,DDRC_PORT_S1_Write,DDRC_PORT_S2_Read,DDRC_PORT_S2_Write,DDRC_PORT_S3_Read,DDRC_PORT_S3_Write,DDRC_PORT_S4_Read,DDRC_PORT_S4_Write,DDRC_PORT_S5_Read,DDRC_PORT_S5_Write,
901398.26,120.24,3.17,124.26,52.86,0,0,0,0,0,0,
901378.24,0.03,0,0.01,0.03,0,0,0,0,0,0,
901358.23,0,0,0.01,0.01,0,0,0,0,0,0,
901338.21,1.01,0.02,0.55,0.13,0,0,0,0,0,0,
901318.19,0,0,0,0,0,0,0,0,0,0,
901298.17,0,0,0,0,0,0,0,0,0,0,
901278.16,0.01,0,0.04,0.04,0,0,0,0,0,0,
901258.14,1.55,0.02,0.88,0.15,0,0,0,0,0,0,
901238.12,0,0,0.07,0.01,0,0,0,0,0,0,
901218.10,0.08,0,0.05,0.03,0,0,0,0,0,0,
901198.09,0.01,0,0.01,0.01,0,0,0,0,0,0,
901178.07,0,0,0.01,0.03,0,0,0,0,0,0,
901158.05,0.13,0.01,0.03,0.07,0,0,0,0,0,0,
901138.04,0.04,0.01,0.12,0.05,0,0,0,0,0,0,
901118.02,2.36,0.03,3.08,0.74,0,0,0,0,0,0,
901098.00,0.08,0.01,0.1,0.06,0,0,0,0,0,0,
901077.98,0.19,0,0.1,0.02,0,0,0,0,0,0,
901057.96,3.3,0.06,3.6,0.92,0,0,0,0,0,0,
901037.94,0.97,0.02,0.99,0.38,0,0,0,0,0,0,
901017.89,96.55,2.57,86.91,30.84,0,0,108.59,43.33,109.97,43.28,
900997.87,40.16,2.3,33.06,29.89,0,0,560.18,239.25,574.33,238.96,
900977.75,40.69,2.32,32.16,29.1,0,0,546.91,244.09,557.24,243.8,
900957.73,41.83,2.35,32.79,29.62,0,0,543.58,231.7,556.31,231.44,
900937.70,39.38,2.23,30.94,30.06,0,0,562.77,244.38,587.4,244.1,
900917.67,48.26,2.56,39.29,35.32,0,0,563.63,236.03,580.9,235.74,
