DPU Throughput
timestamp,FPS

DDR Bandwidth
timestamp,DDRC_PORT_S1_Read,DDRC_PORT_S1_Write,DDRC_PORT_S2_Read,DDRC_PORT_S2_Write,DDRC_PORT_S3_Read,DDRC_PORT_S3_Write,DDRC_PORT_S4_Read,DDRC_PORT_S4_Write,DDRC_PORT_S5_Read,DDRC_PORT_S5_Write,
1045892.50,3.79,0.05,3.29,0.59,0,0,0,0,0,0,
1045872.48,9.25,0.09,9.06,1.48,0,0,0,0,0,0,
1045852.46,0.01,0,0.04,0.02,0,0,0,0,0,0,
1045832.45,1.41,0.02,0.87,0.19,0,0,0,0,0,0,
1045812.42,14.2,0.22,12.22,3.21,0,0,0,0,0,0,
1045792.41,3.71,0.06,3.01,0.79,0,0,0,0,0,0,
1045772.39,0,0,0.01,0.01,0,0,0,0,0,0,
1045752.37,2.9,0.04,3.35,0.81,0,0,0,0,0,0,
1045732.35,0,0,0,0.01,0,0,0,0,0,0,
1045712.33,0.16,0.01,0.06,0.05,0,0,0,0,0,0,
1045692.32,0.02,0,0.02,0.01,0,0,0,0,0,0,
1045672.30,0.16,0,0.04,0.05,0,0,0,0,0,0,
1045652.28,0.6,0.01,0.33,0.13,0,0,0,0,0,0,
1045632.26,0,0,0.01,0.01,0,0,0,0,0,0,
1045612.24,1.12,0.02,0.47,0.21,0,0,0,0,0,0,
1045592.22,0.68,0.01,0.68,0.22,0,0,0,0,0,0,
1045572.20,4.36,0.1,4.38,1.38,0,0,0,0,0,0,
1045552.17,107,2.47,90.03,40.78,0,0,143.05,10.35,144.79,10.35,
1045532.10,281.14,5.93,227.85,81.78,0,0,170.81,12.23,174.05,12.23,
1045511.96,399.05,8.7,347.04,134.97,0,0,154.45,10.35,154.6,10.35,
1045491.94,54.1,1.96,38.08,26.2,0,0,242.12,17.88,244.67,17.88,
1045471.92,48.97,1.92,34.6,24.88,0,0,244.84,17.8,249.9,17.8,
1045451.90,48.64,1.95,33.01,23.62,0,0,248.97,16.93,253.16,16.93,
1045431.88,48.75,1.96,34.14,23.79,0,0,251.03,17.88,253.01,17.88,
1045411.85,51.27,1.72,35.14,19.12,0,0,246.08,17.88,251.44,17.88,
1045391.83,51.1,1.83,34.18,20.11,0,0,243.63,17.88,248.7,17.88,
1045371.81,53.72,1.97,36.01,24.34,0,0,249.34,17.88,254.08,17.88,
1045351.79,51.38,1.87,35.32,23.18,0,0,244.78,16.93,249.97,16.93,
1045331.77,54.12,2,38.15,23.89,0,0,251.45,17.88,252.58,17.88,
1045311.75,50.56,1.84,35.84,21,0,0,250.07,17.88,253.96,17.88,
1045291.73,49.61,1.87,35.06,21.41,0,0,244.65,17.88,249.78,17.88,
1045271.71,53.98,2.02,37.83,22.49,0,0,245.8,17.88,248.97,17.88,
1045251.69,52.6,1.96,39.17,23.96,0,0,245.85,17.88,248.89,17.88,
1045231.64,59.59,2,42,24.65,0,0,243.3,16.93,251.44,16.93,
1045211.61,88.51,2.39,69.52,30.86,0,0,215.35,15.99,218.38,15.99,
1045191.59,51.41,2.1,35.19,26.02,0,0,245.38,16.93,249.37,16.93,
1045171.57,51.01,1.97,34.85,23.33,0,0,251.24,17.88,252.8,17.88,
1045151.55,48.38,1.98,34.05,23.54,0,0,246.33,17.88,251.04,17.88,
1045131.53,50.74,2.01,34.15,24.13,0,0,244.68,17.88,247.92,17.88,
1045111.51,53.59,2.14,38.15,25.36,0,0,250.1,17.88,253.32,17.88,
1045091.49,51.38,2.2,35.05,25.31,0,0,245.21,16.93,249.54,16.93,
1045071.47,48.74,2.15,34.66,25.03,0,0,249.78,17.88,254.25,17.88,
1045051.45,51.25,2.16,35.08,24.52,0,0,245.65,17.88,247.82,17.88,
1045031.42,51.08,2.23,36.44,25.73,0,0,246.09,17.88,249.78,17.88,
1045011.39,118.69,4.64,93.82,60.56,0,0,205.28,14.11,209.88,14.11,
1044991.33,117.38,8.3,108.73,137.87,0,0,0,0,0,0,
1044971.25,195.83,5.67,185.29,117.78,0,0,0,0,0,0,
1044951.21,112.59,2.1,120.51,34.32,0,0,0,0,0,0,
1044931.14,104.13,5.02,104.73,79.63,0,0,0,0,0,0,
1044911.09,136.96,4.5,133.38,68.64,0,0,0,0,0,0,
1044891.01,131.1,3.29,131.97,54.02,0,0,0,0,0,0,
1044870.95,238.23,6.78,220.97,108.54,0,0,0,0,0,0,
1044850.89,135.29,7.35,134.03,118.16,0,0,0,0,0,0,
1044830.84,128.87,4.45,136.76,73.05,0,0,0,0,0,0,
1044810.76,111.65,0.99,103.89,10.94,0,0,0,0,0,0,
1044790.70,74.89,0.5,70.32,6.46,0,0,0,0,0,0,
1044770.65,65.34,0.48,59.03,5.9,0,0,0,0,0,0,
1044750.61,70.32,0.49,65.72,7.14,0,0,0,0,0,0,
1044730.54,59.7,0.7,62.11,10.55,0,0,0,0,0,0,
1044710.49,75.27,0.84,71.12,12.73,0,0,0,0,0,0,
1044690.43,79.79,0.64,72.5,9.99,0,0,0,0,0,0,
1044670.39,53.43,0.6,49.89,8.22,0,0,0,0,0,0,
1044650.33,84.1,1.74,85.86,29.66,0,0,0,0,0,0,
1044630.28,91.5,0.56,92.33,10.61,0,0,0,0,0,0,
1044610.23,43.68,0.25,40.43,4.26,0,0,0,0,0,0,
1044590.18,50.92,0.35,45.06,6.37,0,0,0,0,0,0,
1044570.15,19.94,0.15,17.48,2.45,0,0,0,0,0,0,
1044550.09,45.06,0.46,44.2,7.23,0,0,0,0,0,0,
1044530.05,64.28,0.9,62.28,14.27,0,0,0,0,0,0,
1044509.99,107.98,1.63,103.62,26.48,0,0,0,0,0,0,
1044489.92,318.08,6.92,304.11,107.37,0,0,0,0,0,0,
1044469.86,99.39,1.86,94.35,29.5,0,0,0,0,0,0,
1044449.81,82.29,3.21,82.37,53.95,0,0,0,0,0,0,
1044429.76,118.8,3.93,117.61,66.59,0,0,0,0,0,0,
1044409.73,81.34,1.83,74.18,28.58,0,0,0,0,0,0,
1044389.69,106.01,3.18,97.48,48.75,0,0,0,0,0,0,
1044369.62,91.18,2.59,78.89,35.23,0,0,0,0,0,0,
1044349.58,180.33,8.03,168.47,127.31,0,0,0,0,0,0,
1044329.54,128.56,3.19,126.18,50.82,0,0,0,0,0,0,
1044309.51,156.07,2.85,145.14,45.21,0,0,0,0,0,0,
1044289.44,232,3.63,231.51,60.9,0,0,0,0,0,0,
1044269.38,156.51,4.96,137.5,73.72,0,0,0,0,0,0,
1044249.34,87.05,2.01,86.73,32.83,0,0,0,0,0,0,
1044229.30,119.56,2.88,109.91,46.47,0,0,0,0,0,0,
1044209.25,118.97,3.95,116.11,63.93,0,0,0,0,0,0,
1044189.20,76.28,1.87,71.42,27.45,0,0,0,0,0,0,
1044169.16,85.25,2.25,81.76,37.37,0,0,0,0,0,0,
1044149.13,20.17,0.7,15.62,9.4,0,0,0,0,0,0,
1044129.07,118.18,4.21,107.97,63.42,0,0,0,0,0,0,
1044109.04,84.72,1.77,81.77,28.63,0,0,0,0,0,0,
1044088.98,114.09,3.12,103.51,47.59,0,0,0,0,0,0,
1044068.94,71.21,2.17,63.2,33.44,0,0,0,0,0,0,
1044048.89,96.81,3.09,104.16,52.95,0,0,0,0,0,0,
1044028.85,67.63,2.37,69.96,39.26,0,0,0,0,0,0,
1044008.81,136.72,4.63,135.55,79.63,0,0,0,0,0,0,
1043988.78,50.9,1.37,49.5,23.94,0,0,0,0,0,0,
1043968.71,167.4,2.6,157.57,41.78,0,0,0,0,0,0,
1043948.66,121.61,3.61,110.36,55.82,0,0,0,0,0,0,
1043928.62,44.95,1.18,39.85,18.1,0,0,0,0,0,0,
1043908.60,11.83,0.41,11.69,7.62,0,0,0,0,0,0,
1043888.56,102.23,4.08,92.4,62.41,0,0,0,0,0,0,
1043868.52,125.85,3.74,111.62,55.2,0,0,0,0,0,0,
1043848.47,68.72,2.02,59.53,27.58,0,0,0,0,0,0,
1043828.42,142.56,7.86,116.12,114.58,0,0,0,0,0,0,
1043808.39,130.35,4.57,125.56,70.47,0,0,0,0,0,0,
1043788.35,104.24,2.62,107.96,41.63,0,0,0,0,0,0,
1043768.27,145.03,3.39,130.03,46.43,0,0,0,0,0,0,
1043748.20,84.23,3.92,85.69,63.96,0,0,0,0,0,0,

