DPU Throughput
timestamp,FPS

DDR Bandwidth
timestamp,DDRC_PORT_S1_Read,DDRC_PORT_S1_Write,DDRC_PORT_S2_Read,DDRC_PORT_S2_Write,DDRC_PORT_S3_Read,DDRC_PORT_S3_Write,DDRC_PORT_S4_Read,DDRC_PORT_S4_Write,DDRC_PORT_S5_Read,DDRC_PORT_S5_Write,
72956.54,80.58,1.93,71.05,29.28,0,0,0,0,0,0,
72936.52,23.9,0.44,23.84,8.08,0,0,0,0,0,0,
72916.51,0.06,0,0.03,0.01,0,0,0,0,0,0,
72896.49,0.03,0,0.08,0.06,0,0,0,0,0,0,
72876.47,3.58,0.03,3.96,0.47,0,0,0,0,0,0,
72856.45,0.01,0,0.03,0.02,0,0,0,0,0,0,
72836.44,0.03,0,0.01,0.01,0,0,0,0,0,0,
72816.42,0.61,0,0.58,0.08,0,0,0,0,0,0,
72796.40,0.06,0.01,0.04,0.25,0,0,0,0,0,0,
72776.38,4.54,0.02,4.77,0.25,0,0,0,0,0,0,
72756.36,0.06,0,0.04,0.01,0,0,0,0,0,0,
72736.34,0.04,0,0.1,0.02,0,0,0,0,0,0,
72716.33,0.14,0,0.1,0.02,0,0,0,0,0,0,
72696.31,0.04,0,0.08,0.01,0,0,0,0,0,0,
72676.29,0.18,0,0.08,0.04,0,0,0,0,0,0,
72656.27,0.51,0,0.77,0.1,0,0,0,0,0,0,
72636.26,0.03,0,0.03,0.03,0,0,0,0,0,0,
72616.24,0.42,0,0.45,0.07,0,0,0,0,0,0,
72596.22,8.05,0.08,5.88,1.04,0,0,0,0,0,0,
72576.20,0.23,0.01,0.31,0.13,0,0,0,0,0,0,
72556.19,3.94,0.05,3.24,0.62,0,0,0,0,0,0,
72536.17,0.75,0.01,0.69,0.04,0,0,0,0,0,0,
72516.15,2.28,0.04,2.36,0.95,0,0,0,0,0,0,
72496.09,120.94,3.51,109.83,56.08,0,0,80.54,45.52,81.78,45.52,
72476.04,65.11,3.67,47.3,48.47,0,0,189.86,158.77,175.75,158.77,
72455.99,76.68,4.51,55.49,59.9,0,0,228.32,151.96,214.01,151.96,
72435.93,64.24,3.65,45.93,47.76,0,0,187.48,158.77,176.5,158.77,
72415.86,75.76,4.56,55.32,59.03,0,0,196.79,150.8,193.47,150.8,
72395.72,67.33,3.73,50.25,49.24,0,0,201.08,159.4,191.65,159.4,
72375.66,74.93,4.3,54.12,57.12,0,0,191.64,152.32,180.58,152.32,
72355.60,69.05,3.94,50.98,52.56,0,0,221.97,158.41,212.12,158.41,
72335.55,63.55,3.67,45.33,47.99,0,0,190.55,156.75,183.31,156.75,
72315.49,73.85,4.43,54.01,57.24,0,0,219.06,156.26,214.21,156.26,
72295.44,62.35,3.66,46.14,48.49,0,0,182.35,159.31,183.28,159.31,
72275.39,75.34,4.44,54.53,60.28,0,0,228.52,153.04,212.16,153.04,
72255.33,67.72,3.74,48.1,48.51,0,0,183.42,158.77,183.02,158.77,
72235.28,74.78,4.51,53.42,58.03,0,0,223.2,153.04,218.31,153.04,
72215.23,61.44,3.62,44.75,47.05,0,0,186.72,159.85,178.9,159.85,
72195.18,76.1,4.48,55.11,59.36,0,0,230.2,151.96,212.12,151.96,
72175.13,62.11,3.64,44.49,47.35,0,0,182.44,160.92,182.36,160.92,
72155.07,78.11,4.64,54.59,58.81,0,0,205.2,151.49,194.56,151.49,
72134.85,62.83,3.62,44.87,47.05,0,0,188.4,160.67,181.33,160.67,
72114.79,76.01,4.5,54.2,59.3,0,0,191.46,150.53,180.55,150.53,
72094.64,63.73,3.68,46.35,47.5,0,0,211.81,160.59,199.24,160.59,
72074.59,72.9,4.31,49.83,54.68,0,0,192.5,152.32,179.73,152.32,
72054.54,69.09,4.04,49.88,52.17,0,0,219.79,159.49,214.29,159.49,
72034.49,66.86,3.84,46.42,49.54,0,0,188.43,156.62,185.42,156.62,
72014.43,71.5,4.25,52.42,56.55,0,0,222.59,156.26,210.68,156.26,
