DPU Throughput
timestamp,FPS

DDR Bandwidth
timestamp,DDRC_PORT_S1_Read,DDRC_PORT_S1_Write,DDRC_PORT_S2_Read,DDRC_PORT_S2_Write,DDRC_PORT_S3_Read,DDRC_PORT_S3_Write,DDRC_PORT_S4_Read,DDRC_PORT_S4_Write,DDRC_PORT_S5_Read,DDRC_PORT_S5_Write,
125995.64,12.38,0.1,12.15,1.79,0,0,0,0,0,0,
125975.62,0.06,0,0.2,0.08,0,0,0,0,0,0,
125955.60,4.12,0.04,4.71,0.65,0,0,0,0,0,0,
125935.58,0.13,0,0.17,0.03,0,0,0,0,0,0,
125915.57,26.83,0.36,26.9,6.05,0,0,0,0,0,0,
125895.54,1.72,0.02,1.54,0.34,0,0,0,0,0,0,
125875.52,3.02,0.06,3.1,0.87,0,0,0,0,0,0,
125855.48,185.88,5.06,179.99,86.62,0,0,0,0,0,0,
125835.42,89.7,2.1,82.64,34.2,0,0,0,0,0,0,
125815.40,2.24,0.03,2.45,0.54,0,0,0,0,0,0,
125795.38,0,0,0.01,0.03,0,0,0,0,0,0,
125775.37,5.4,0.05,3.66,0.53,0,0,0,0,0,0,
125755.35,0,0,0.01,0.04,0,0,0,0,0,0,
125735.33,0.14,0.01,0.17,0.15,0,0,0,0,0,0,
125715.31,0.03,0,0.01,0.01,0,0,0,0,0,0,
125695.29,1.96,0.02,2.52,0.45,0,0,0,0,0,0,
125675.28,0.01,0,0,0.01,0,0,0,0,0,0,
125655.26,0.02,0,0.1,0.03,0,0,0,0,0,0,
125635.24,0.26,0.01,0.21,0.17,0,0,0,0,0,0,
125615.22,8.67,0.13,7.05,1.92,0,0,0,0,0,0,
125595.21,0.03,0,0.02,0.04,0,0,0,0,0,0,
125575.19,0.2,0,0.19,0.02,0,0,0,0,0,0,
125555.17,0.23,0,0.35,0.07,0,0,0,0,0,0,
125535.15,0.95,0.01,0.78,0.24,0,0,0,0,0,0,
125515.13,0.16,0,0.16,0.12,0,0,0,0,0,0,
125495.11,1.81,0.04,2.14,0.75,0,0,0,0,0,0,
125475.07,91.02,2.46,89.76,32.72,0,0,116.36,48.98,112.15,48.92,
125455.05,35.76,1.87,31.04,27.85,0,0,468.37,187.05,460.94,186.82,
125435.03,33.02,1.82,26.95,26.82,0,0,426.43,180.84,409.76,180.63,
125415.02,28.91,1.51,24.45,22.35,0,0,465.09,191.88,457.24,191.65,
125395.00,37.27,1.58,31.35,23.19,0,0,452.78,187.85,436.29,187.62,
125374.98,30.71,1.38,25.09,20.07,0,0,443.6,182.72,431.18,182.52,
125354.96,33.43,1.55,26.81,22.09,0,0,477.17,187.05,453.56,186.82,
125334.94,33.56,1.55,27.18,22.19,0,0,427.54,181.64,417.76,181.44,
125314.93,28.98,1.31,24.49,18.75,0,0,462.62,192.15,450.16,191.92,
125294.91,33.68,1.54,27.83,22.02,0,0,463.12,187.05,454.2,186.82,
125274.89,29.94,1.5,24.79,21.81,0,0,430.84,182.72,423.64,182.52,
125254.88,31.96,1.39,26.5,20.24,0,0,467.73,190.27,456.56,190.04,
125234.86,33.04,1.54,26.63,22.09,0,0,445.93,189.65,434.91,189.45,
125214.83,30.15,1.32,25.04,18.98,0,0,442.82,182.75,436.29,182.52,
125194.81,34.73,1.65,28.64,24.04,0,0,472.77,186.24,458.68,186.01,
125174.80,32.31,1.5,27.03,20.81,0,0,426.66,181.1,408.71,180.9,
125154.78,30.89,1.37,25.65,19.45,0,0,469.02,191.35,455.66,191.12,
125134.76,33.44,1.51,27.89,21.35,0,0,458.56,188.66,439.59,188.43,
125114.66,35.17,1.36,30.27,19.33,0,0,433.61,182.72,423.05,182.52,
125094.64,32.86,1.4,27.27,19.29,0,0,468.2,188.66,456.09,188.43,
125074.62,32.79,1.49,27.39,20.69,0,0,443.2,183.99,424.54,183.76,
125054.60,29.68,1.33,25.01,18.53,0,0,451.13,188.73,441.22,188.49,
125034.59,33.06,1.5,27.72,20.86,0,0,480.24,187.05,456.24,186.82,
125014.57,32.36,1.46,26.64,20.13,0,0,423.99,181.1,411.37,180.9,
