DPU Throughput
timestamp,FPS

DDR Bandwidth
timestamp,DDRC_PORT_S1_Read,DDRC_PORT_S1_Write,DDRC_PORT_S2_Read,DDRC_PORT_S2_Write,DDRC_PORT_S3_Read,DDRC_PORT_S3_Write,DDRC_PORT_S4_Read,DDRC_PORT_S4_Write,DDRC_PORT_S5_Read,DDRC_PORT_S5_Write,
99059.56,22.84,0.3,19.78,4.51,0,0,0,0,0,0,
99039.54,0,0,0,0.01,0,0,0,0,0,0,
99019.52,0,0,0,0,0,0,0,0,0,0,
98999.50,0.06,0.01,0.08,0.11,0,0,0,0,0,0,
98979.49,0.1,0.01,0.1,0.15,0,0,0,0,0,0,
98959.47,3.2,0.05,3.03,0.77,0,0,0,0,0,0,
98939.45,0,0,0,0,0,0,0,0,0,0,
98919.43,0,0,0,0,0,0,0,0,0,0,
98899.42,0.26,0.01,0.36,0.15,0,0,0,0,0,0,
98879.40,0.02,0.01,0.11,0.11,0,0,0,0,0,0,
98859.38,0.66,0.02,0.81,0.25,0,0,0,0,0,0,
98839.36,0.03,0,0.01,0.06,0,0,0,0,0,0,
98819.34,0,0,0,0,0,0,0,0,0,0,
98799.33,2.07,0.03,1.49,0.51,0,0,0,0,0,0,
98779.31,1.29,0.04,2.17,0.74,0,0,0,0,0,0,
98759.28,93.78,2.22,85.96,32.55,0,0,73.28,6.86,76.05,6.66,
98739.26,62.58,2.12,49.45,24.7,0,0,307.71,24.68,330.2,23.99,
98719.24,60.11,1.82,47.57,21.11,0,0,311.07,26.05,334.81,25.32,
98699.22,66.61,2.55,51.92,32.79,0,0,300.55,26.01,320.6,25.32,
98679.14,239.48,5.68,207.58,80.16,0,0,247.07,19.2,260.33,18.66,
98659.07,406.13,8.79,368.12,141.03,0,0,203.51,16.45,207.97,15.99,
98639.03,80.29,2.45,65.76,33.15,0,0,310.63,25.48,332.83,24.75,
98619.01,60.65,2.06,49.42,27.32,0,0,303.83,26.05,326.92,25.32,
98598.99,57.44,1.98,47,26.44,0,0,310.42,24.68,334.13,23.99,
98578.97,56.84,1.93,48.75,27.5,0,0,311.53,26.05,336.11,25.32,
98558.96,55.28,1.93,46.91,26.97,0,0,303.26,26.05,326.19,25.32,
98538.94,56.36,1.91,48.09,27.24,0,0,310.63,26.01,335.25,25.32,
98518.92,55.37,1.9,46.69,26.78,0,0,310.27,24.68,334.28,23.99,
98498.90,57.82,1.75,47.94,24.56,0,0,310.68,26.05,333.01,25.32,
98478.88,59.72,1.91,48.99,26.91,0,0,303.43,26.05,327.09,25.32,
98458.86,58.97,1.76,49.22,21.54,0,0,311.03,24.68,333.52,23.99,
98438.85,56.95,2.26,48.14,31.8,0,0,312.78,26.05,336.37,25.32,
98418.83,55.33,2.31,46.86,32.53,0,0,302.27,26.05,324.62,25.32,
98398.81,58.39,2.46,48.1,32.76,0,0,308.47,24.68,332.58,23.99,
98378.79,56.66,2.32,47.17,30.43,0,0,313.9,25.48,337.6,24.75,
98358.77,58.8,2.5,48.56,32.91,0,0,300.55,26.05,323.62,25.32,
98338.75,59.35,2.47,48.79,32.15,0,0,310,24.68,334.04,23.99,
98318.74,56.31,2.2,47.55,28.71,0,0,314.45,26.05,337.05,25.32,
98298.72,57.27,2.32,47.97,30.06,0,0,302.88,26.05,326.2,25.32,
98278.70,57.91,2.32,49.76,33.02,0,0,307.28,26.01,330.96,25.32,
98258.68,60.2,2.26,49.65,31.41,0,0,312.48,24.72,336.11,23.99,
98238.66,59.41,2.3,49.6,32.84,0,0,304.23,26.05,327.3,25.32,
98218.63,71.32,2.54,57.65,36.47,0,0,306.17,24.68,329.27,23.99,
98198.58,180.13,8.93,167.29,144.36,0,0,34.14,2.74,34.44,2.67,
98178.54,132.04,5.33,131.87,87.81,0,0,0,0,0,0,
98158.48,133.41,3.73,129.32,57.6,0,0,0,0,0,0,
98138.44,160.47,5.86,156.15,95.65,0,0,0,0,0,0,
98118.41,50.75,2.87,52.19,39.91,0,0,0,0,0,0,
98098.39,60.83,6.06,61.92,55.18,0,0,0,0,0,0,
98078.34,128.63,3.03,128.8,47.16,0,0,0,0,0,0,
98058.29,173.86,5.62,167.72,87.47,0,0,0,0,0,0,
98038.23,199.51,6.8,197.96,105.65,0,0,0,0,0,0,
98018.19,140.56,7.58,141.57,118.71,0,0,0,0,0,0,
97998.15,119.97,1.32,125.98,24.7,0,0,0,0,0,0,
97978.10,67.59,0.33,70.04,7.58,0,0,0,0,0,0,
97958.05,69.02,0.43,72.19,9.21,0,0,0,0,0,0,
97938.01,60.54,0.29,62.71,6.46,0,0,0,0,0,0,
97917.95,63.49,0.74,62.99,11.8,0,0,0,0,0,0,
97897.91,69.77,0.61,68.44,10.76,0,0,0,0,0,0,
97877.86,68.08,0.71,70.18,11.9,0,0,0,0,0,0,
97857.81,59.69,0.46,61.36,7.56,0,0,0,0,0,0,
97837.77,61.6,1.07,62.57,17.38,0,0,0,0,0,0,
97817.71,130.23,1.81,129.03,26.32,0,0,0,0,0,0,
97797.68,37.86,0.23,37.23,3.19,0,0,0,0,0,0,
97777.63,50.16,0.37,46.96,4.61,0,0,0,0,0,0,
97757.59,26.43,0.21,26.3,3.9,0,0,0,0,0,0,
97737.57,22.73,0.25,23.83,2.87,0,0,0,0,0,0,
97717.53,67.3,0.65,71.78,11.46,0,0,0,0,0,0,
97697.48,142.18,1.76,145.55,28.64,0,0,0,0,0,0,
97677.45,41.78,0.35,48.1,6.89,0,0,0,0,0,0,
97657.40,59.12,0.8,59.05,11.94,0,0,0,0,0,0,
97637.35,339.96,8.65,342.74,145.78,0,0,0,0,0,0,
97617.28,170.03,6.71,178.51,108.04,0,0,0,0,0,0,
97597.22,96.65,2.27,99.72,35.72,0,0,0,0,0,0,
97577.18,79.05,2.44,85.84,41.98,0,0,0,0,0,0,
97557.12,82.12,2.26,87.45,37.67,0,0,0,0,0,0,
97537.08,172.84,7.62,167.08,119.07,0,0,0,0,0,0,
97517.02,129.83,4.07,119.35,59.09,0,0,0,0,0,0,
97496.99,159.6,2.99,155.7,45.61,0,0,0,0,0,0,
97476.92,207.34,3.03,225.66,54.24,0,0,0,0,0,0,
97456.87,160.19,4.76,151.69,73.96,0,0,0,0,0,0,
97436.82,93.7,2.63,97.89,42.61,0,0,0,0,0,0,
97416.79,98.69,2.55,105.45,43.57,0,0,0,0,0,0,
97396.75,123.34,3.83,116.35,56.17,0,0,0,0,0,0,
97376.71,82.85,2.37,88.92,39.31,0,0,0,0,0,0,
97356.68,73.3,2.22,68.48,29.31,0,0,0,0,0,0,
97336.64,26.27,0.98,23.65,11.53,0,0,0,0,0,0,
97316.60,120.44,4.27,107.73,61.6,0,0,0,0,0,0,
97296.56,65.92,1.42,67.8,21.84,0,0,0,0,0,0,
97276.52,114.8,3.76,121.88,54.14,0,0,0,0,0,0,
97256.49,52.27,1.59,60.76,31.92,0,0,0,0,0,0,
97236.46,96.67,2.81,105.25,51.71,0,0,0,0,0,0,
97216.42,76.89,2.74,78.41,43.01,0,0,0,0,0,0,
97196.37,139.49,5.25,126.48,68.05,0,0,0,0,0,0,
97176.34,60.36,1.67,55.21,23.24,0,0,0,0,0,0,
97156.29,155.65,2.74,161.44,40.4,0,0,0,0,0,0,
97136.26,95,2.99,97.82,44.22,0,0,0,0,0,0,
97116.23,58.26,1.77,60.38,27.3,0,0,0,0,0,0,
97096.21,10.25,0.45,11.88,6.09,0,0,0,0,0,0,
97076.17,85.94,3.83,86.52,58.46,0,0,0,0,0,0,
97056.15,123.42,3.9,119.46,58.53,0,0,0,0,0,0,
97036.11,52.04,1.55,62.7,29.73,0,0,0,0,0,0,
97016.07,140.26,6.58,140.65,104.03,0,0,0,0,0,0,
96995.97,125.02,5.02,124.31,81.12,0,0,0,0,0,0,
96975.88,93.21,2.52,100.42,45.82,0,0,0,0,0,0,
96955.80,129.35,3.29,114.04,45.15,0,0,0,0,0,0,
96935.73,81.31,3.98,82.81,61.11,0,0,0,0,0,0,

