DPU Throughput
timestamp,FPS

DDR Bandwidth
timestamp,DDRC_PORT_S1_Read,DDRC_PORT_S1_Write,DDRC_PORT_S2_Read,DDRC_PORT_S2_Write,DDRC_PORT_S3_Read,DDRC_PORT_S3_Write,DDRC_PORT_S4_Read,DDRC_PORT_S4_Write,DDRC_PORT_S5_Read,DDRC_PORT_S5_Write,
108204.75,12.45,0.23,12.52,3.81,0,0,0,0,0,0,
108184.73,2.13,0.03,2.33,0.49,0,0,0,0,0,0,
108164.71,0.8,0.02,0.82,0.36,0,0,0,0,0,0,
108144.69,0,0,0,0.03,0,0,0,0,0,0,
108124.67,2.69,0.04,2.26,0.56,0,0,0,0,0,0,
108104.66,0,0,0.01,0,0,0,0,0,0,0,
108084.64,0.41,0.01,0.26,0.04,0,0,0,0,0,0,
108064.62,0.08,0.01,0.45,0.2,0,0,0,0,0,0,
108044.60,0.05,0,0.31,0.04,0,0,0,0,0,0,
108024.59,0.72,0.01,0.55,0.1,0,0,0,0,0,0,
108004.57,0.12,0,0.12,0.03,0,0,0,0,0,0,
107984.55,4.01,0.08,3.92,1.16,0,0,0,0,0,0,
107964.53,4.41,0.07,4.18,1.05,0,0,0,0,0,0,
107944.47,196.36,5.45,203.83,98.2,0,0,0,0,0,0,
107924.42,57.48,1.26,55.93,21.88,0,0,0,0,0,0,
107904.40,0.04,0,0.1,0.04,0,0,0,0,0,0,
107884.38,4.03,0.1,4.51,1.47,0,0,0,0,0,0,
107864.35,110.61,2.86,97.66,44.06,0,0,162.8,12.23,164.82,12.23,
107844.33,45.88,1.64,32.9,21.99,0,0,249.51,17.88,254.52,17.88,
107824.31,47.08,1.66,32.73,21.2,0,0,248.56,17.88,255.47,17.88,
107804.27,50.28,1.74,36.57,23.88,0,0,247.92,17.88,250.05,17.88,
107784.16,49.87,1.68,36.45,22.64,0,0,251.75,17.88,252.28,17.88,
107764.14,47.52,1.78,34.39,23.74,0,0,250.39,17.88,253.64,17.88,
107744.12,46.88,1.87,32.99,26.91,0,0,243.55,17.88,251.53,17.88,
107724.08,46.11,1.97,33.84,27.6,0,0,246.12,17.88,249.03,17.88,
107704.05,44.8,1.95,33.29,25.89,0,0,245.78,17.88,250.47,17.88,
107684.03,44.97,2,33.98,27.2,0,0,247.39,17.82,252.27,17.82,
107663.99,45.89,1.99,36.26,27.88,0,0,248.62,16.93,251.6,16.93,
107643.98,50.28,1.98,39.48,26.78,0,0,249.38,17.88,254.65,17.88,
107623.96,48.51,1.9,37.19,29.99,0,0,250.24,17.88,253.79,17.88,
107603.94,46.62,1.71,33.27,29.9,0,0,248.2,17.88,251.28,17.88,
107583.92,45.42,1.79,33.03,27.55,0,0,248.34,17.88,252.77,17.88,
107563.90,46.84,1.85,32.98,25.59,0,0,247.59,17.88,252.45,17.88,
107543.89,46.26,1.85,33.27,26.03,0,0,248.81,17.88,252.42,17.88,
107523.87,46.09,1.84,33.23,25.61,0,0,250.29,17.88,251.81,17.88,
107503.85,45.53,1.84,33.24,25.72,0,0,248.4,17.88,251.93,17.88,
107483.83,48.53,1.86,36.12,26.77,0,0,249,17.88,250.65,17.88,
107463.82,45.52,1.85,33.29,26.52,0,0,247.67,17.88,256.37,17.88,
107443.80,46.54,1.88,34.27,26.37,0,0,250.54,17.88,252.87,17.88,
107423.78,45.9,1.87,34.37,26.86,0,0,251.07,17.88,252.35,17.88,
107403.76,46.23,1.89,33.95,26.32,0,0,250.65,17.88,252.87,17.88,
107383.74,47.47,1.92,34.97,26.9,0,0,250.78,17.88,253.25,17.88,
107363.72,50.44,1.98,36.4,27.44,0,0,249,17.88,255.03,17.88,
107343.68,143.24,9.43,125.74,148.67,0,0,177.75,12.23,184.36,12.23,
107323.64,134.73,5.83,130.55,91.03,0,0,0,0,0,0,
107303.57,152.1,4.8,149.07,65.55,0,0,0,0,0,0,
107283.54,129.02,2.57,122.22,40.04,0,0,0,0,0,0,
107263.48,99.01,5.04,98.39,78.34,0,0,0,0,0,0,
107243.44,59.26,5.06,60.85,46.22,0,0,0,0,0,0,
107223.40,133.18,2.89,135.12,44.09,0,0,0,0,0,0,
107203.31,194.45,5.88,195.51,93.2,0,0,0,0,0,0,
107183.23,201.93,7.72,201.97,120.41,0,0,0,0,0,0,
107163.18,136.1,6.77,135.14,105.58,0,0,0,0,0,0,
107143.13,118.53,1.05,124.95,21.72,0,0,0,0,0,0,
107123.09,76.5,0.44,78.02,9.52,0,0,0,0,0,0,
107103.06,57.94,0.3,59.13,7.16,0,0,0,0,0,0,
107083.02,62.08,0.35,63.77,6.6,0,0,0,0,0,0,
107062.98,66.71,0.74,63.04,11.33,0,0,0,0,0,0,
107042.92,69.2,0.64,70.5,12.15,0,0,0,0,0,0,
107022.87,71.55,0.68,70.39,11.18,0,0,0,0,0,0,
107002.83,51.64,0.35,53.58,6.11,0,0,0,0,0,0,
106982.78,69.19,1.18,70.68,19.15,0,0,0,0,0,0,
106962.72,125.4,1.62,124.28,23.93,0,0,0,0,0,0,
106942.68,55.94,0.56,56.83,9.66,0,0,0,0,0,0,
106922.62,328.29,5.81,330.97,108.95,0,0,0,0,0,0,
106902.36,151.77,3,148.63,44.52,0,0,0,0,0,0,
106882.34,18.03,0.19,19.1,2.8,0,0,0,0,0,0,
106862.31,47.33,0.58,50.2,8.36,0,0,0,0,0,0,
106842.26,69.03,0.94,70.72,17.73,0,0,0,0,0,0,
106822.20,49.45,0.56,56.04,8.69,0,0,0,0,0,0,
106802.17,42.27,0.58,44.69,9.42,0,0,0,0,0,0,
106782.12,72.17,2.55,77.13,42,0,0,0,0,0,0,
106762.08,104.03,4.48,106.39,67.08,0,0,0,0,0,0,
106742.03,96.96,2.18,98.09,34.98,0,0,0,0,0,0,
106721.98,85.88,2.6,87.78,40.16,0,0,0,0,0,0,
106701.93,91.96,2.52,87.44,38.67,0,0,0,0,0,0,
106681.90,164.15,7.1,157.44,111.14,0,0,0,0,0,0,
106661.85,128.66,4.48,131.96,69.96,0,0,0,0,0,0,
106641.82,147.98,2.83,162.27,48.26,0,0,0,0,0,0,
106621.78,210.82,3.14,211.6,49.43,0,0,0,0,0,0,
106601.72,160.04,4.58,148.99,67.25,0,0,0,0,0,0,
106581.67,104.03,3.11,99.26,47.78,0,0,0,0,0,0,
106561.64,96.36,2.55,101.65,42.52,0,0,0,0,0,0,
106541.59,121.89,3.8,115.97,56.13,0,0,0,0,0,0,
106521.55,90.19,2.58,88.46,37.8,0,0,0,0,0,0,
106501.51,64.13,1.88,75.03,33.56,0,0,0,0,0,0,
106481.48,29.06,0.96,27.83,13.47,0,0,0,0,0,0,
106461.44,116.13,4.11,116.47,65.73,0,0,0,0,0,0,
106441.40,61.51,1.27,65.99,20.42,0,0,0,0,0,0,
106421.37,125.13,3.77,117.86,56.53,0,0,0,0,0,0,
106401.33,56.11,1.84,57.15,28.08,0,0,0,0,0,0,
106381.30,94.85,2.92,92.65,44.97,0,0,0,0,0,0,
106361.26,82.43,3.09,82.85,48.37,0,0,0,0,0,0,
106341.22,128.74,4.69,127.56,74.81,0,0,0,0,0,0,
106321.18,56.5,1.52,55.49,22.55,0,0,0,0,0,0,
106301.12,171.98,3.1,152.62,38.07,0,0,0,0,0,0,
106281.09,96.32,2.96,96.08,44.42,0,0,0,0,0,0,
106261.06,60.89,1.78,61.38,29,0,0,0,0,0,0,
106241.04,9.2,0.39,11.21,6.46,0,0,0,0,0,0,
106221.01,85.38,3.75,90.6,59.92,0,0,0,0,0,0,
106200.94,125.4,3.85,123.23,60.41,0,0,0,0,0,0,
106180.90,57.39,1.73,59.5,27.76,0,0,0,0,0,0,
106160.86,138.02,6.67,118.13,97.4,0,0,0,0,0,0,
